Points (mm),meanU (m/s),<u'u'> (m2/s2),<u'v'> (m2/s2),<u'w'> (m2/s2),<v'v'> (m2/s2),<v'w'> (m2/s2),<w'w'> (m2/s2),xLu (m),yLu(m),zLu (m),xLv (m),yLv (m),zLv (m),xLw (m),yLw (m),zLw (m)
1285,14.9241,0.28713,-0.5476,0,0.071782346,0,0.183762806,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1295,14.91073,0.27917,-0.5476,0,0.069791961,0,0.178667419,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1305,14.92497,0.28306,-0.5476,0,0.070764786,0,0.181157853,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1315,14.94702,0.2813,-0.5476,0,0.07032618,0,0.18003502,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1325,14.92236,0.28179,-0.5476,0,0.070446672,0,0.180343479,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1335,14.90923,0.28465,-0.5476,0,0.071163341,0,0.182178152,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1345,14.93959,0.28557,-0.5476,0,0.071391875,0,0.182763199,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1355,14.95713,0.28387,-0.5476,0,0.070966479,0,0.181674185,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1365,14.89302,0.29271,-0.5476,0,0.073177864,0,0.187335331,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1375,14.87161,0.27958,-0.5476,0,0.069894832,0,0.17893077,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1385,14.94529,0.27853,-0.5476,0,0.069632389,0,0.178258915,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1395,14.91935,0.27527,-0.5476,0,0.06881698,0,0.176171469,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1405,14.94637,0.28716,-0.5476,0,0.071791146,0,0.183785333,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1415,14.95794,0.27896,-0.5476,0,0.069739481,0,0.178533072,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1425,14.94604,0.28169,-0.5476,0,0.070423091,0,0.180283112,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1435,14.93433,0.28079,-0.5476,0,0.070196363,0,0.179702689,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
