Points (mm),<u'u'> (m2/s2),<v'v'> (m2/s2),<w'w'> (m2/s2),<u'v'> (m2/s2),<u'w'> (m2/s2),<v'w'> (m2/s2),xLu (m),yLu(m),zLu (m),xLv (m),yLv (m),zLv (m),xLw (m),yLw (m),zLw (m)
1485.00000,0.27602,-0.04792,0.00000,0.18743,0.00000,0.15596,0.25579,0.06906,0.07162,0.05116,0.01535,0.01791,0.11766,0.03581,0.08185
1495.00000,0.27568,-0.05142,0.00000,0.19170,0.00000,0.15707,0.24148,0.06520,0.06762,0.04830,0.01449,0.01690,0.11108,0.03381,0.07727
1505.00000,0.28899,-0.05758,0.00000,0.18553,0.00000,0.16017,0.26984,0.07286,0.07555,0.05397,0.01619,0.01889,0.12412,0.03778,0.08635
1515.00000,0.28555,-0.06139,0.00000,0.18359,0.00000,0.15536,0.31056,0.08385,0.08696,0.06211,0.01863,0.02174,0.14286,0.04348,0.09938
1525.00000,0.27575,-0.05116,0.00000,0.18844,0.00000,0.15087,0.22793,0.06154,0.06382,0.04559,0.01368,0.01596,0.10485,0.03191,0.07294
1535.00000,0.28150,-0.05034,0.00000,0.19017,0.00000,0.15449,0.24732,0.06678,0.06925,0.04946,0.01484,0.01731,0.11377,0.03462,0.07914
1545.00000,0.27596,-0.04314,0.00000,0.19349,0.00000,0.15784,0.23142,0.06248,0.06480,0.04628,0.01389,0.01620,0.10645,0.03240,0.07406
1555.00000,0.28157,-0.05806,0.00000,0.18925,0.00000,0.16459,0.27037,0.07300,0.07570,0.05407,0.01622,0.01893,0.12437,0.03785,0.08652
1565.00000,0.28501,-0.04814,0.00000,0.19109,0.00000,0.15712,0.40734,0.10998,0.11406,0.08147,0.02444,0.02851,0.18738,0.05703,0.13035
1575.00000,0.27922,-0.05399,0.00000,0.19313,0.00000,0.16055,0.29112,0.07860,0.08151,0.05822,0.01747,0.02038,0.13391,0.04076,0.09316
1585.00000,0.28622,-0.06048,0.00000,0.19316,0.00000,0.15752,0.26466,0.07146,0.07410,0.05293,0.01588,0.01853,0.12174,0.03705,0.08469
1595.00000,0.28711,-0.03533,0.00000,0.19840,0.00000,0.15515,0.43435,0.11727,0.12162,0.08687,0.02606,0.03040,0.19980,0.06081,0.13899
1605.00000,0.29292,-0.05514,0.00000,0.19983,0.00000,0.15945,0.24413,0.06591,0.06836,0.04883,0.01465,0.01709,0.11230,0.03418,0.07812
1615.00000,0.28576,-0.06145,0.00000,0.19758,0.00000,0.15755,0.21976,0.05934,0.06153,0.04395,0.01319,0.01538,0.10109,0.03077,0.07032
1625.00000,0.28929,-0.05497,0.00000,0.20424,0.00000,0.15584,0.26527,0.07162,0.07428,0.05305,0.01592,0.01857,0.12203,0.03714,0.08489
1635.00000,0.29920,-0.05975,0.00000,0.20680,0.00000,0.15806,0.82531,0.22283,0.23109,0.16506,0.04952,0.05777,0.37964,0.11554,0.26410
1645.00000,0.30491,-0.07533,0.00000,0.20512,0.00000,0.15819,0.39939,0.10784,0.11183,0.07988,0.02396,0.02796,0.18372,0.05592,0.12781
1655.00000,0.28820,-0.06512,0.00000,0.19965,0.00000,0.15974,0.28848,0.07789,0.08077,0.05770,0.01731,0.02019,0.13270,0.04039,0.09231
